turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words,transcript_name
2,5de79e713cf27970edc23950,173.62,176.36,Okay. Hello?,-0.3400000000000034,2.740000000000009,1,True,True,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
9,5cf942378da406000127871f,187.84,189.06,Yeah.,-0.2199999999999988,1.2199999999999989,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
13,5cf942378da406000127871f,196.94,197.26,Mhm.,-0.1400000000000147,0.3199999999999932,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
16,5de79e713cf27970edc23950,198.74,200.36,Yeah. Hi.,-0.5199999999999818,1.6200000000000043,0,False,True,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
19,5cf942378da406000127871f,209.24,210.04,Uh huh.,-1.039999999999992,0.799999999999983,0,False,True,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
23,5cf942378da406000127871f,217.24,218.65,Oh cool.,0.2800000000000011,1.4099999999999966,0,False,False,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
26,5de79e713cf27970edc23950,221.44,221.65,Oh,-0.1400000000000147,0.2100000000000079,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
29,5cf942378da406000127871f,226.24,226.66,Mhm.,0.4800000000000182,0.4199999999999875,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
31,5cf942378da406000127871f,227.84,228.16,Cool.,-0.0099999999999909,0.3199999999999932,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
39,5cf942378da406000127871f,246.34,246.55,Mhm.,-0.1800000000000068,0.2100000000000079,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
41,5cf942378da406000127871f,248.34,249.35,Yeah.,0.0800000000000125,1.009999999999991,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
47,5cf942378da406000127871f,259.64,259.85,Mhm.,-0.4300000000000068,0.2100000000000363,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
49,5cf942378da406000127871f,261.14,261.46,Mhm.,-0.1000000000000227,0.3199999999999932,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
51,5cf942378da406000127871f,263.24,264.86,Oh boy.,0.079999999999984,1.6200000000000043,0,False,False,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
56,5de79e713cf27970edc23950,272.24,273.95,Okay. Nice.,-0.1100000000000136,1.7099999999999795,0,False,True,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
58,5de79e713cf27970edc23950,276.74,278.56,Yeah.,-0.4200000000000159,1.8199999999999927,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
64,5de79e713cf27970edc23950,296.74,298.06,Uh,-0.1100000000000136,1.3199999999999932,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
66,5de79e713cf27970edc23950,308.14,309.06,right.,-0.75,0.920000000000016,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
69,5cf942378da406000127871f,322.24,322.86,Yeah.,0.5799999999999841,0.6200000000000045,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
71,5cf942378da406000127871f,330.24,330.86,Yeah.,0.1800000000000068,0.6200000000000045,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
73,5cf942378da406000127871f,339.84,340.06,Mm,-0.0100000000000477,0.2200000000000272,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
75,5cf942378da406000127871f,340.06,340.65,hmm.,-0.0500000000000113,0.589999999999975,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
77,5cf942378da406000127871f,342.84,343.65,Mm,0.079999999999984,0.8100000000000023,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
80,5de79e713cf27970edc23950,346.44,347.06,Yeah.,-0.1100000000000136,0.6200000000000045,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
82,5de79e713cf27970edc23950,347.07,347.54,Yeah.,0.1200000000000045,0.4700000000000273,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
85,5cf942378da406000127871f,351.04,352.15,Oh.,0.5900000000000318,1.1099999999999568,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
87,5cf942378da406000127871f,353.94,354.86,Oh wow.,0.1800000000000068,0.920000000000016,0,False,False,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
89,5cf942378da406000127871f,355.74,356.46,"Mm hmm,",-0.3199999999999932,0.7199999999999704,0,False,True,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
91,5cf942378da406000127871f,358.64,358.96,mm,-0.0600000000000022,0.3199999999999932,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
93,5cf942378da406000127871f,360.64,360.85,mm.,-0.1200000000000045,0.2100000000000363,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
95,5cf942378da406000127871f,361.44,361.64,"Yeah,",-0.2800000000000295,0.1999999999999886,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
97,5cf942378da406000127871f,373.44,374.55,"wow,",1.079999999999984,1.1100000000000136,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
101,5cf942378da406000127871f,386.94,387.65,Yeah.,-0.2400000000000091,0.7099999999999795,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
103,5cf942378da406000127871f,391.14,391.76,"Mhm,",-0.3199999999999932,0.6200000000000045,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
105,5cf942378da406000127871f,396.54,397.16,mm.,-0.2599999999999909,0.6200000000000045,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
107,5cf942378da406000127871f,400.14,401.85,Mhm.,0.079999999999984,1.7100000000000364,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
109,5cf942378da406000127871f,409.94,410.45,Right.,-0.3799999999999954,0.5099999999999909,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
113,5cf942378da406000127871f,419.54,420.35,Um,0.3799999999999954,0.8100000000000023,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
115,5cf942378da406000127871f,427.54,428.16,mhm.,-0.1999999999999886,0.6200000000000045,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
117,5cf942378da406000127871f,430.24,430.66,Oh.,-0.1200000000000045,0.4200000000000159,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
119,5cf942378da406000127871f,434.04,434.37,Mm,-0.0399999999999636,0.3299999999999841,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
121,5cf942378da406000127871f,434.41,434.74,hmm.,-0.25,0.3299999999999841,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
123,5cf942378da406000127871f,436.54,437.35,Oh man.,1.080000000000041,0.8100000000000023,0,False,False,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
125,5cf942378da406000127871f,439.94,440.86,Yeah.,0.3799999999999954,0.920000000000016,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
128,5de79e713cf27970edc23950,448.64,449.44,Yeah.,-0.0200000000000386,0.8000000000000114,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
130,5de79e713cf27970edc23950,462.84,463.18,Oh,-0.3000000000000113,0.3400000000000318,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
134,5de79e713cf27970edc23950,466.54,466.87,Oh,-0.0999999999999659,0.3299999999999841,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
138,5de79e713cf27970edc23950,469.44,470.15,Yeah.,-0.0099999999999909,0.7099999999999795,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
145,5cf942378da406000127871f,498.14,498.56,Okay.,-0.0200000000000386,0.4200000000000159,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
147,5cf942378da406000127871f,503.14,503.86,Mhm.,-0.0099999999999909,0.7200000000000273,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
149,5cf942378da406000127871f,508.24,508.86,Yeah.,-0.0500000000000113,0.6200000000000045,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
155,5cf942378da406000127871f,525.94,526.96,"Oh, wow.",0.0800000000000409,1.0199999999999818,0,False,False,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
157,5cf942378da406000127871f,530.64,531.06,Mhm.,-0.4300000000000636,0.4199999999999591,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
161,5cf942378da406000127871f,533.79,534.14,Yeah.,-0.2300000000000182,0.3500000000000227,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
163,5cf942378da406000127871f,541.74,542.71,Oh man.,0.3799999999999954,0.9700000000000272,0,False,False,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
165,5cf942378da406000127871f,542.72,543.05,Yeah.,-0.1499999999999772,0.3299999999999272,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
167,5cf942378da406000127871f,548.24,550.16,Mm,-0.2200000000000272,1.919999999999959,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
170,5de79e713cf27970edc23950,561.54,561.87,"Oh,",-0.1299999999999954,0.3300000000000409,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
172,5de79e713cf27970edc23950,561.88,562.76,yes.,-0.6000000000000227,0.8799999999999955,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
175,5cf942378da406000127871f,568.74,569.55,Mm hmm.,-0.2200000000000272,0.8099999999999454,0,False,True,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
181,5cf942378da406000127871f,576.54,577.16,yeah.,0.3799999999999954,0.6200000000000045,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
183,5cf942378da406000127871f,581.44,582.46,Mhm.,-0.1799999999999499,1.0199999999999818,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
185,5cf942378da406000127871f,585.54,585.95,Yeah.,-0.0400000000000773,0.4100000000000818,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
187,5cf942378da406000127871f,588.34,589.06,Mhm.,-0.0099999999999909,0.7199999999999136,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
189,5cf942378da406000127871f,590.94,591.95,Oh yeah.,0.0800000000000409,1.009999999999991,0,False,False,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
191,5cf942378da406000127871f,593.34,593.54,Yeah.,-0.3600000000000136,0.1999999999999318,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
193,5cf942378da406000127871f,596.54,597.65,Oh.,-0.1200000000000045,1.1100000000000136,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
195,5cf942378da406000127871f,601.44,601.76,Mm.,-0.169999999999959,0.3199999999999363,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
197,5cf942378da406000127871f,604.24,604.45,Mhm.,0.3799999999999954,0.2100000000000363,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
199,5cf942378da406000127871f,607.44,607.86,Mhm.,-0.1999999999999318,0.4199999999999591,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
201,5cf942378da406000127871f,609.14,609.36,Mm,-0.0199999999999818,0.2200000000000272,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
203,5cf942378da406000127871f,609.36,609.76,hmm.,-0.25,0.3999999999999772,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
205,5cf942378da406000127871f,611.84,612.16,Right.,-0.1000000000000227,0.3199999999999363,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
209,5cf942378da406000127871f,616.54,617.71,Yeah.,1.17999999999995,1.1700000000000728,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
212,5de79e713cf27970edc23950,625.94,626.26,Yeah.,-1.2899999999999636,0.3199999999999363,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
214,5de79e713cf27970edc23950,633.34,634.06,Nice.,0.1900000000000545,0.7199999999999136,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
220,5de79e713cf27970edc23950,649.74,650.36,Mm,-0.0199999999999818,0.6200000000000045,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
223,5cf942378da406000127871f,654.04,654.54,Yeah.,1.2799999999999727,0.5,0,False,False,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
226,5de79e713cf27970edc23950,660.64,661.14,Uh huh.,-0.3100000000000591,0.5,0,False,True,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
228,5de79e713cf27970edc23950,663.84,664.85,Yeah.,-0.4099999999999681,1.009999999999991,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
231,5cf942378da406000127871f,676.44,678.13,"Uh course,",0.1800000000000636,1.6899999999999409,0,False,False,2,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
234,5de79e713cf27970edc23950,683.64,684.22,Right.,-0.3300000000000409,0.5800000000000409,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
237,5cf942378da406000127871f,687.74,688.16,Yes.,-0.1799999999999499,0.4199999999999591,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
240,5de79e713cf27970edc23950,701.84,702.35,Mm,-0.169999999999959,0.5099999999999909,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
242,5de79e713cf27970edc23950,706.54,707.94,Yeah.,-0.5199999999999818,1.400000000000091,0,False,True,1,0da3e9ac-d5a5-4df0-abf4-f3eb3fc62788
